
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.39          1   0.001677   0.002526 4.32E-009 6.506E-009
650           2.402     0.9999  8.012E-005   0.003336 1.486E-005 0.0006185
rg60          2.521       1.05     0.0149     0.5909   0.01497    0.5938
633           2.434      1.013    0.01228     0.5048   0.02596     1.067
634          0.2751     0.9926   0.001639     0.5957  0.003323     1.208
671           2.392     0.9958    0.04221      1.765    0.0826     3.454
645           2.449       1.02          0          0         0         0
646           2.445      1.018          0          0         0         0
692           2.392     0.9958    0.04221      1.765    0.0826     3.454
675           2.387     0.9937    0.04538      1.901   0.08769     3.674
611           2.308     0.9608          0          0         0         0
652           2.343     0.9753          0          0         0         0
670           2.422      1.008    0.02239     0.9242   0.04405     1.819
632            2.44      1.016    0.01226     0.5024   0.02509     1.028
680           2.392     0.9958    0.04221      1.765    0.0826     3.454
684           2.356     0.9809          0          0         0         0
